Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.16354E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
12.15,2.02562,0.49441,0,,,,,22851.90013,36.10654984
12.2,2.03344,0.49348,0.00001,,,,,22808.91502,36.24594085
12.25,2.04219,0.49354,0.00001,,,,,22811.68825,36.40190905
12.3,2.05062,0.49356,0,,,,,22812.61266,36.55217327
12.35,2.05859,0.50018,0.00001,,,,,23118.59268,36.69423803
12.4,2.06687,0.51177,0.00001,,,,,23654.2888,36.84182851
12.45,2.07578,0.48995,0,,,,,22645.75649,37.0006487
12.5,2.08391,0.49901,0.00001,,,,,23064.51464,37.14556544
12.55,2.09172,0.511,0,,,,,23618.69898,37.2847782
12.6,2.10047,0.49587,0,,,,,22919.38212,37.44074641
12.65,2.10922,0.48856,0.00002,,,,,22581.50993,37.59671461
12.7,2.11703,0.51838,0.00001,,,,,23959.80661,37.73592737
12.75,2.125,0.5066,0,,,,,23415.32858,37.87799212
12.8,2.13391,0.53649,0.00001,,,,,24796.8607,38.03681232
12.85,2.1425,0.50841,0,,,,,23498.98777,38.18992853
12.9,2.15016,0.50269,0.00001,,,,,23234.60625,38.32646755
12.95,2.15859,0.5181,0.00001,,,,,23946.86486,38.47673177
13,2.1675,0.52817,0,,,,,24412.30576,38.63555197
13.05,2.17562,0.53807,0.00001,,,,,24869.88916,38.78029046
13.1,2.18359,0.53122,0,,,,,24553.27842,38.92235521
13.15,2.19203,0.52893,0,,,,,24447.43337,39.07279768
13.2,2.20094,0.54764,0.00001,,,,,25312.21979,39.23161787
13.25,2.20875,0.5317,0,,,,,24575.46429,39.37083064
13.3,2.21687,0.52315,0.00001,,,,,24180.27862,39.51556913
13.35,2.22562,0.55783,0.00001,,,,,25783.20715,39.67153733
13.4,2.23391,0.53394,0,,,,,24678.99831,39.81930606
13.45,2.24187,0.5522,0.00001,,,,,25522.98548,39.96119256
13.5,2.25047,0.54336,0,,,,,25114.39585,40.11448703
13.55,2.25906,0.53638,0,,,,,24791.77644,40.26760324
13.6,2.26703,0.5312,0.00001,,,,,24552.35401,40.40966799
13.65,2.27531,0.55893,0,,,,,25834.04975,40.55725847
13.7,2.28422,0.5414,0.00001,,,,,25023.80358,40.71607867
13.75,2.29234,0.58879,0.00001,,,,,27214.19525,40.86081716
13.8,2.30016,0.53208,0,,,,,24593.02809,41.00020817
13.85,2.30875,0.54635,0,,,,,25252.59528,41.15332438
13.9,2.31766,0.54078,0.00002,,,,,24995.14684,41.31214458
13.95,2.32562,0.57902,0,,,,,26762.62052,41.45403108
14,2.33328,0.578,-0.00001,,,,,26715.47556,41.5905701
14.05,2.34219,0.54896,0.00001,,,,,25373.23091,41.74939029
14.1,2.35094,0.55881,0,,,,,25828.50329,41.90535849
14.15,2.35875,0.54643,0.00001,,,,,25256.29293,42.04457126
14.2,2.36703,0.58849,0.00001,,,,,27200.32909,42.19216174
14.25,2.37562,0.62278,-0.00001,,,,,28785.23161,42.34527795
14.3,2.38375,0.56132,0.00001,,,,,25944.51686,42.49019469
14.35,2.39187,0.56754,0,,,,,26232.00865,42.63493319
14.4,2.40031,0.57692,0,,,,,26665.55737,42.78537566
14.45,2.40891,0.60222,0.00002,,,,,27834.93719,42.93867012
14.5,2.41703,0.59896,0,,,,,27684.25821,43.08340861
14.55,2.42531,0.5823,0,,,,,26914.22391,43.23099909
14.6,2.43391,0.57917,0.00002,,,,,26769.5536,43.38429356
14.65,2.44219,0.57359,0,,,,,26511.64296,43.53188404
14.7,2.45016,0.57756,0,,,,,26695.13852,43.67394879
14.75,2.45891,0.60534,0.00002,,,,,27979.14529,43.82991699
14.8,2.46734,0.59208,0,,,,,27366.26085,43.98018122
14.85,2.47531,0.59538,0,,,,,27518.78865,44.12224597
14.9,2.48359,0.57393,0.00001,,,,,26527.35794,44.26983645
14.95,2.4925,0.57104,0,,,,,26393.78056,44.42865664
15,2.50062,0.56798,0.00001,,,,,26252.34569,44.57339513
15.05,2.50844,0.62368,0.00001,,,,,28826.8301,44.71278615
15.1,2.51719,0.58971,0,,,,,27256.71816,44.86875435
15.15,2.52594,0.58825,0.00001,,,,,27189.23616,45.02472255
15.2,2.53375,0.5893,0,,,,,27237.76773,45.16393531
15.25,2.54172,0.60248,-0.00001,,,,,27846.95453,45.30600006
15.3,2.55047,0.63132,0.00002,,,,,29179.95507,45.46196827
15.35,2.55906,0.58021,0,,,,,26817.62297,45.61508448
15.4,2.56687,0.60761,0,,,,,28084.06593,45.75429724
15.45,2.57516,0.60893,0.00002,,,,,28145.07705,45.90206597
15.5,2.58406,0.62089,0,,,,,28697.87478,46.06070792
15.55,2.59234,0.62187,0.00001,,,,,28743.17091,46.2082984
15.6,2.60016,0.60558,0.00001,,,,,27990.23822,46.34768941
15.65,2.60875,0.61771,0,,,,,28550.89344,46.50080562
15.7,2.61734,0.62509,0.00001,,,,,28892.00107,46.65392184
15.75,2.62531,0.62983,0,,,,,29111.08646,46.79598659
15.8,2.63375,0.66568,0.00001,,,,,30768.09303,46.94642906
15.85,2.64234,0.60895,0.00001,,,,,28146.00146,47.09954527
15.9,2.65047,0.61298,0,,,,,28332.27026,47.24446201
15.95,2.65859,0.61556,0,,,,,28451.51927,47.38920051
16,2.66719,0.63203,0.00001,,,,,29212.77166,47.54249497
16.05,2.67562,0.66764,0.00001,,,,,30858.6853,47.69275919
16.1,2.68359,0.62823,0,,,,,29037.13359,47.83482394
16.15,2.69203,0.63715,0.00001,,,,,29449.42086,47.98526642
16.2,2.70078,0.62555,0.00001,,,,,28913.26252,48.14123462
16.25,2.70875,0.62285,0.00001,,,,,28788.46705,48.28329937
16.3,2.71672,0.64248,0,,,,,29695.77637,48.42536412
16.35,2.72531,0.68018,0,,,,,31438.29095,48.57848033
16.4,2.73422,0.65884,0.00002,,,,,30451.9445,48.73730053
16.45,2.74203,0.61706,-0.00001,,,,,28520.85009,48.87651329
16.5,2.75,0.66257,0.00002,,,,,30624.34713,49.01857804
16.55,2.75891,0.64732,0.00001,,,,,29919.48381,49.17739823
16.6,2.76766,0.65128,-0.00001,,,,,30102.51717,49.33336644
16.65,2.77516,0.64419,0.00001,,,,,29774.8135,49.46705347
16.7,2.78359,0.66385,0,,,,,30683.50943,49.61731769
16.75,2.7925,0.65596,0.00003,,,,,30318.82933,49.77613788
16.8,2.80062,0.734,0.00005,,,,,33925.88073,49.92087638
16.85,2.80859,0.68628,-0.00004,,,,,31720.23628,50.06294113
16.9,2.81703,0.62753,-0.00003,,,,,29004.7792,50.2133836
16.95,2.82578,0.64184,-0.00003,,,,,29666.19522,50.3693518
17,2.83375,0.62878,-0.00001,,,,,29062.55489,50.51141655
17.05,2.84203,0.68533,0.00007,,,,,31676.32676,50.65900704
17.1,2.85062,0.77942,0.00002,,,,,36025.21793,50.81212325
17.15,2.85891,0.66718,0.00004,,,,,30837.42385,50.95989198
17.2,2.86672,0.66836,-0.00001,,,,,30891.9641,51.09910474
17.25,2.87547,0.64123,-0.00006,,,,,29638.00068,51.25507295
17.3,2.88406,0.67524,0.00003,,,,,31209.96145,51.40818916
17.35,2.89203,0.69909,0.00001,,,,,32312.32147,51.55025391
17.4,2.90031,0.68087,-0.00001,,,,,31470.18313,51.69784439
17.45,2.90906,0.68807,0.00003,,,,,31802.97106,51.85381259
17.5,2.91734,0.6772,0,,,,,31300.55372,52.00140308
17.55,2.92516,0.68715,0.00002,,,,,31760.44815,52.14079409
17.6,2.93359,0.68701,0.00003,,,,,31753.97728,52.29105831
17.65,2.94266,0.71559,0.00001,,,,,33074.96048,52.45273049
17.7,2.95047,0.66316,0,,,,,30651.61726,52.59194326
17.75,2.95844,0.70534,0,,,,,32601.19989,52.73400801
17.8,2.96719,0.68842,-0.00002,,,,,31819.14825,52.88997621
17.85,2.97578,0.69536,0.00003,,,,,32139.91884,53.04309242
