Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.64044E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
13.85,2.30844,1.86826,-0.00001,,,,,70755.63164,16.46497224
13.9,2.31687,1.86531,0,,,,,70643.90783,16.5250993
13.95,2.32547,1.88928,0,,,,,71551.71108,16.58643889
14,2.33375,1.91314,0,,,,,72455.34835,16.64549608
14.05,2.34172,1.88726,0.00002,,,,,71475.20868,16.70234219
14.1,2.35047,1.88488,0,,,,,71385.07218,16.76475165
14.15,2.35891,1.90645,-0.00001,,,,,72201.98149,16.82495004
14.2,2.36687,1.9263,0.00002,,,,,72953.75013,16.88172482
14.25,2.37516,1.90916,-0.00001,,,,,72304.6159,16.94085333
14.3,2.38406,1.92967,-0.00001,,,,,73081.38038,17.00433268
14.35,2.39203,1.92779,0.00002,,,,,73010.18012,17.06117878
14.4,2.4,1.95617,0,,,,,74085.00098,17.11802489
14.45,2.40875,1.94282,-0.00001,,,,,73579.40343,17.18043436
14.5,2.4175,1.94809,0.00001,,,,,73778.99138,17.24284382
14.55,2.425,1.96313,0,,,,,74348.59342,17.29633765
14.6,2.43328,1.96663,0,,,,,74481.14708,17.35539484
14.65,2.44219,1.95809,0.00001,,,,,74157.71614,17.4189455
14.7,2.45047,1.97625,0,,,,,74845.4803,17.47800269
14.75,2.45844,1.99816,0,,,,,75675.26624,17.5348488
14.8,2.46687,1.95257,0.00001,,,,,73948.66007,17.59497586
14.85,2.47562,1.99817,-0.00001,,,,,75675.64497,17.65738533
14.9,2.48375,2.01205,0.00001,,,,,76201.31493,17.71537263
14.95,2.49172,2.01551,0.00002,,,,,76332.3537,17.77221874
15,2.50047,2.03537,-0.00001,,,,,77084.50107,17.83462821
15.05,2.50891,2.05872,0.00001,,,,,77968.82338,17.8948266
15.1,2.51687,2.02481,0.00001,,,,,76684.56772,17.95160138
15.15,2.52531,2.02509,-0.00001,,,,,76695.17202,18.01179977
15.2,2.53391,2.03815,0.00001,,,,,77189.78655,18.07313935
15.25,2.54187,2.06723,0.00001,,,,,78291.11815,18.12991414
15.3,2.55016,2.05695,-0.00001,,,,,77901.7891,18.18904265
15.35,2.55891,2.05846,0.00001,,,,,77958.97653,18.25145211
15.4,2.56734,2.06388,0,,,,,78164.24535,18.31157918
15.45,2.575,2.06981,-0.00001,,,,,78388.82913,18.36621421
15.5,2.58359,2.07329,0.00001,,,,,78520.62535,18.42748247
15.55,2.59234,2.11089,0.00001,,,,,79944.63044,18.48989194
15.6,2.60031,2.09804,0,,,,,79457.96913,18.54673804
15.65,2.60812,2.1151,0.00001,,,,,80104.07356,18.60244295
15.7,2.61719,2.11722,0,,,,,80184.36321,18.66713482
15.75,2.62578,2.12514,0,,,,,80484.31322,18.72840308
15.8,2.63344,2.11589,0.00001,,,,,80133.99282,18.78303811
15.85,2.64156,2.12013,-0.00001,,,,,80294.57212,18.8409541
15.9,2.65062,2.15622,0,,,,,81661.38977,18.90557464
15.95,2.65922,2.16507,0.00001,,,,,81996.56118,18.96691423
16,2.66672,2.1448,-0.00001,,,,,81228.88609,19.02040806
16.05,2.67531,2.16825,0.00001,,,,,82116.99565,19.08167632
16.1,2.68406,2.18229,0.00001,,,,,82648.72521,19.14408579
16.15,2.69219,2.16223,0,,,,,81889.00335,19.2020731
16.2,2.7,2.19241,0.00001,,,,,83031.99467,19.257778
16.25,2.70875,2.19615,0,,,,,83173.63773,19.32018747
16.3,2.71734,2.18364,0,,,,,82699.85305,19.38145573
16.35,2.72516,2.21133,0.00001,,,,,83748.54191,19.43723196
16.4,2.73359,2.20219,0,,,,,83402.38748,19.49735903
16.45,2.74219,2.22395,0,,,,,84226.49255,19.55869862
16.5,2.75031,2.20876,0.00001,,,,,83651.20965,19.6166146
16.55,2.75828,2.21683,0,,,,,83956.84053,19.67346071
16.6,2.76703,2.25991,0.00001,,,,,85588.38678,19.73587017
16.65,2.77547,2.22258,0.00001,,,,,84174.60726,19.79606856
16.7,2.78344,2.24811,0,,,,,85141.49157,19.85291467
16.75,2.79203,2.2569,0,,,,,85474.39063,19.91418293
16.8,2.80078,2.25773,0.00001,,,,,85505.82479,19.9765924
16.85,2.80891,2.26223,0,,,,,85676.25093,20.03457971
16.9,2.81672,2.27441,-0.00001,,,,,86137.53768,20.09028461
16.95,2.82531,2.28383,0.00002,,,,,86494.29641,20.15155288
17,2.83422,2.2919,0,,,,,86799.92728,20.21510354
17.05,2.84187,2.28892,0,,,,,86687.06731,20.26966725
17.1,2.85,2.31504,0.00001,,,,,87676.29637,20.32765456
17.15,2.85891,2.30992,-0.00001,,,,,87482.3893,20.39120523
17.2,2.86734,2.29453,0.00001,,,,,86899.5319,20.45133229
17.25,2.87531,2.31705,0,,,,,87752.42005,20.5081784
17.3,2.88359,2.32225,0,,,,,87949.35693,20.56723558
17.35,2.89219,2.33249,0.00001,,,,,88337.17108,20.62857517
17.4,2.90047,2.34694,0,,,,,88884.42835,20.68763236
17.45,2.90828,2.34472,0,,,,,88800.35146,20.74333726
17.5,2.91703,2.36984,0.00001,,,,,89751.70805,20.80574673
17.55,2.92562,2.35545,0,,,,,89206.72312,20.86701499
17.6,2.93344,2.35692,0,,,,,89262.39566,20.92279122
17.65,2.94187,2.36936,0.00001,,,,,89733.52926,20.98291829
17.7,2.95062,2.38587,0,,,,,90358.80384,21.04532775
17.75,2.95875,2.38015,0,,,,,90142.17327,21.10331506
17.8,2.96687,2.40864,0,,,,,91221.16011,21.16123105
17.85,2.97562,2.39623,0.00001,,,,,90751.16269,21.22364051
17.9,2.98406,2.42443,0,,,,,91819.1665,21.2838389
17.95,2.99187,2.42128,0,,,,,91699.8682,21.3395438
18,3.00016,2.41653,0,,,,,91519.97394,21.39867232
18.05,3.00906,2.4292,0,,,,,91999.81821,21.46215166
18.1,3.01703,2.42791,0,,,,,91950.96272,21.51899777
18.15,3.025,2.4431,0,,,,,92526.24563,21.57584387
18.2,3.03375,2.44316,0.00001,,,,,92528.51797,21.63825334
18.25,3.0425,2.45607,0,,,,,93017.45164,21.7006628
18.3,3.05016,2.45833,0,,,,,93103.04343,21.75529783
18.35,3.05828,2.46105,0.00001,,,,,93206.05657,21.81321382
18.4,3.06719,2.47571,0,,,,,93761.26706,21.87676449
18.45,3.07547,2.46811,0,,,,,93473.43625,21.93582167
18.5,3.08344,2.48331,0,,,,,94049.09788,21.99266778
18.55,3.09187,2.49615,0.00001,,,,,94535.38047,22.05279484
18.6,3.10062,2.48942,0,,,,,94280.4987,22.11520431
18.65,3.10875,2.5005,0,,,,,94700.12574,22.17319162
18.7,3.11672,2.5109,0.00001,,,,,95093.99948,22.23003772
18.75,3.12547,2.527,0,,,,,95703.74635,22.29244719
18.8,3.13391,2.53513,0.00001,,,,,96011.64957,22.35264558
18.85,3.14187,2.54188,0,,,,,96267.28879,22.40942036
18.9,3.15031,2.54462,0,,,,,96371.05937,22.46961875
18.95,3.15906,2.56116,0.00001,,,,,96997.47012,22.53202821
19,3.16703,2.5548,0,,,,,96756.60117,22.58887432
19.05,3.17516,2.56013,0,,,,,96958.46147,22.64686163
19.1,3.18375,2.58257,0.00001,,,,,97808.31983,22.70812989
19.15,3.19219,2.58174,0,,,,,97776.88567,22.76832828
19.2,3.20016,2.57673,0,,,,,97587.14457,22.82517439
19.25,3.20859,2.56323,0.00001,,,,,97075.86614,22.88530145
19.3,3.21734,2.60257,0,,,,,98565.76934,22.94771092
19.35,3.22531,2.60305,0.00001,,,,,98583.94813,23.00455703
19.4,3.23328,2.60844,0,,,,,98788.08077,23.06140313
19.45,3.24203,2.61702,0,,,,,99113.02662,23.1238126
19.5,3.25078,2.60504,0.00001,,,,,98659.31436,23.18622206
19.55,3.25844,2.62855,0,,,,,99549.69626,23.24085709
19.6,3.26672,2.63285,0,,,,,99712.54791,23.29991428
19.65,3.27562,2.64166,0.00001,,,,,100046.2044,23.36339362
19.7,3.28406,2.6251,0,,,,,99419.03622,23.42359201
19.75,3.29172,2.66319,0.00001,,,,,100861.5988,23.47822704
19.8,3.30016,2.65331,0,,,,,100487.4188,23.53842543
19.85,3.30906,2.68277,0,,,,,101603.1419,23.60190477
19.9,3.31719,2.6658,0,,,,,100960.446,23.65989208
19.95,3.325,2.66086,0.00001,,,,,100773.356,23.71559698
20,3.33375,2.69985,0,,,,,102250.0038,23.77800645
20.05,3.34234,2.6805,0.00001,,,,,101517.1714,23.83927471
20.1,3.35016,2.7021,0,,,,,102335.2169,23.89505095
20.15,3.35859,2.71327,-0.00001,,,,,102758.2524,23.95517801
20.2,3.36719,2.70584,0.00001,,,,,102476.8599,24.0165176
20.25,3.37531,2.70964,0,,,,,102620.7753,24.07443358
20.3,3.38344,2.71489,0,,,,,102819.6058,24.13242089
20.35,3.39203,2.76826,0.00002,,,,,104840.8599,24.19368915
20.4,3.40047,2.72749,0,,,,,103296.799,24.25388754
20.45,3.40828,2.72849,0,,,,,103334.6715,24.30959245
