Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.05629E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
9.8,-9.35469,0.37235,0,,,,,18107.88966,-176.8660968
9.85,-9.34609,0.387,0,,,,,18820.33919,-176.7034994
9.9,-9.33844,0.39055,0.00001,,,,,18992.98055,-176.5588633
9.95,-9.33,0.37921,0.00001,,,,,18441.50084,-176.399291
10,-9.32125,0.39577,0,,,,,19246.83629,-176.2338576
10.05,-9.31313,0.39763,0.00001,,,,,19337.29063,-176.0803354
10.1,-9.30531,0.38864,0.00001,,,,,18900.09464,-175.9324852
10.15,-9.29656,0.41974,0.00001,,,,,20412.53016,-175.7670517
10.2,-9.28781,0.37579,0,,,,,18275.18157,-175.6016183
10.25,-9.27984,0.41953,0.00001,,,,,20402.31758,-175.4509321
10.3,-9.27172,0.40797,-0.00001,,,,,19840.13897,-175.2974099
10.35,-9.26297,0.41869,0.00001,,,,,20361.46723,-175.1319765
10.4,-9.25469,0.41883,0.00001,,,,,20368.27562,-174.9754292
10.45,-9.24672,0.41328,0,,,,,20098.37153,-174.824743
10.5,-9.23812,0.39158,0.00002,,,,,19043.07086,-174.6621456
10.55,-9.22953,0.44172,0,,,,,21481.44762,-174.4997372
10.6,-9.22156,0.40802,-0.00001,,,,,19842.57054,-174.349051
10.65,-9.21328,0.43191,0.00002,,,,,21004.37391,-174.1925037
10.7,-9.20453,0.43083,0,,,,,20951.85203,-174.0270703
10.75,-9.19625,0.40847,0.00001,,,,,19864.45465,-173.870523
10.8,-9.18844,0.42496,0.00002,,,,,20666.3859,-173.7228619
10.85,-9.17969,0.41335,-0.00002,,,,,20101.77573,-173.5574285
10.9,-9.17125,0.42654,0.00004,,,,,20743.22346,-173.3978561
10.95,-9.16328,0.4191,0,,,,,20381.40609,-173.2471699
11,-9.15531,0.43569,-0.00002,,,,,21188.20047,-173.0964837
11.05,-9.14625,0.45661,0.00005,,,,,22205.56868,-172.9251892
11.1,-9.13797,0.43472,-0.00001,,,,,21141.02805,-172.7686419
11.15,-9.13016,0.43006,-0.00002,,,,,20914.40588,-172.6209808
11.2,-9.12172,0.4451,0.00003,,,,,21645.82164,-172.4614084
11.25,-9.11266,0.42702,0,,,,,20766.56652,-172.2901139
11.3,-9.10453,0.41476,0.00002,,,,,20170.34595,-172.1364027
11.35,-9.09688,0.44807,0.00002,,,,,21790.2568,-171.9917666
11.4,-9.08813,0.47084,-0.00001,,,,,22897.59304,-171.8263332
11.45,-9.07938,0.45782,0.00002,,,,,22264.41264,-171.6608998
11.5,-9.07156,0.45472,0,,,,,22113.6554,-171.5130495
11.55,-9.06359,0.46111,0,,,,,22424.40983,-171.3623633
11.6,-9.05453,0.43458,0.00003,,,,,21134.21966,-171.1910688
11.65,-9.04625,0.45109,0,,,,,21937.12353,-171.0345216
11.7,-9.03828,0.45388,0,,,,,22072.80505,-170.8838354
11.75,-9.02984,0.5127,0.00001,,,,,24933.30208,-170.724263
11.8,-9.02125,0.49803,0,,,,,24219.87992,-170.5618547
11.85,-9.01328,0.46429,0.00001,,,,,22579.05758,-170.4111684
11.9,-9.00516,0.44977,0.00001,,,,,21872.93013,-170.2576462
11.95,-8.99641,0.45525,0,,,,,22139.43002,-170.0922128
12,-8.98797,0.4609,0.00001,,,,,22414.19725,-169.9326405
12.05,-8.98016,0.48202,0.00001,,,,,23441.29173,-169.7849793
12.1,-8.97156,0.47952,0,,,,,23319.71331,-169.6223819
12.15,-8.96266,0.49271,0.00002,,,,,23961.16104,-169.4541125
12.2,-8.95484,0.4616,0.00001,,,,,22448.2392,-169.3062623
12.25,-8.94688,0.48615,0,,,,,23642.13927,-169.1557651
12.3,-8.93797,0.46265,0.00001,,,,,22499.30214,-168.9873066
12.35,-8.92938,0.48449,0.00001,,,,,23561.4112,-168.8248983
12.4,-8.92172,0.47827,0.00001,,,,,23258.9241,-168.6800732
12.45,-8.91344,0.47534,0.00002,,,,,23116.43419,-168.5235259
12.5,-8.90438,0.4931,0.00001,,,,,23980.12728,-168.3522314
12.55,-8.89625,0.49071,0,,,,,23863.89831,-168.1985201
12.6,-8.88844,0.51533,0.00001,,,,,25061.20258,-168.050859
12.65,-8.87984,0.49052,0,,,,,23854.65835,-167.8882615
12.7,-8.87109,0.5045,0.00001,,,,,24534.52487,-167.7228281
12.75,-8.86328,0.48413,0.00001,,,,,23543.90391,-167.575167
12.8,-8.85516,0.51031,0.00001,,,,,24817.07311,-167.4216448
12.85,-8.84641,0.48913,0.00001,,,,,23787.06075,-167.2562113
12.9,-8.83797,0.49726,0.00001,,,,,24182.43377,-167.096639
12.95,-8.83,0.49094,0,,,,,23875.08352,-166.9459528
13,-8.82156,0.51932,0.00001,,,,,25255.24173,-166.7863804
13.05,-8.81297,0.50697,0,,,,,24654.64434,-166.6239721
13.1,-8.80484,0.49852,0.00001,,,,,24243.70929,-166.4702608
13.15,-8.79656,0.51087,0.00002,,,,,24844.30668,-166.3137135
13.2,-8.78781,0.52389,0,,,,,25477.48708,-166.1482801
13.25,-8.77953,0.50258,0.00002,,,,,24441.15264,-165.9917328
13.3,-8.77156,0.51906,0.00001,,,,,25242.59758,-165.8410466
13.35,-8.76313,0.53934,0,,,,,26228.84171,-165.6816633
